City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Ushuaia,AR,31.66,snow,-54.8,-68.3,Albatross Hotel
66,Pevek,RU,31.87,light snow,69.7008,170.3133,Severnoye Zoloto
74,Tasiilaq,GL,33.96,broken clouds,65.6145,-37.6368,The Red House
92,Barrow,US,39.22,mist,71.2906,-156.7887,King Eider Inn
96,Leningradskiy,RU,34.14,overcast clouds,69.3833,178.4167,Gostinitsa
130,Punta Arenas,CL,33.82,few clouds,-53.15,-70.9167,Hotel Hain
186,Iqaluit,CA,38.93,few clouds,63.7506,-68.5145,Frobisher Inn
200,Clyde River,CA,37.63,light rain,70.4692,-68.5914,Qamaq Hotel
244,Ancud,CL,39.22,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
351,San Carlos De Bariloche,AR,33.24,heavy snow,-41.1456,-71.3082,Hotel Patagonia
436,Comodoro Rivadavia,AR,31.86,clear sky,-45.8667,-67.5,Austral Hotel
440,Saldanha,ZA,39.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
565,Coihaique,CL,24.75,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
